model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma10,Set11,10,1,5,500.0,5.0,0,0,0.0,27.654255,21.090588,142.7737,582.9377,0.0,0.0042502577,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,5.0,0,0,0.0,27.739998,20.970594,140.68468,587.63464,0.0,0.0044040917,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,5.0,0,0,0.0,27.704994,20.575407,141.66571,642.9593,0.0,0.005038966,0.0,0,0
smtADV,Set11,10,1,5,500.0,5.0,0,0,0.0,27.161934,21.600082,157.48805,492.80212,0.0,0.0029951634,0.0,0,0
STH,Set11,10,1,5,500.0,5.0,0,0,0.0,27.303133,21.892656,150.91711,480.97958,0.0,0.0029649436,0.0,0,0
ISTA,Set11,10,1,5,500.0,5.0,1,100,0.04,27.775072,21.945303,139.83571,477.03635,916.75354,0.0031939072,0.00969968,0,99
ADV,Set11,10,1,5,500.0,5.0,1,100,0.04,27.179253,22.654427,157.95818,412.52792,734.208,0.0021511149,0.007009454,0,99
JCBgma10,Set11,10,1,5,500.0,5.0,1,100,0.04,27.654255,21.716011,142.7737,515.9716,961.8479,0.0035492724,0.010241869,0,99
JCBgma20,Set11,10,1,5,500.0,5.0,1,100,0.04,27.739998,21.733997,140.68468,508.37784,943.66595,0.0035416835,0.010123716,0,99
JCBgma30,Set11,10,1,5,500.0,5.0,1,100,0.04,27.704994,21.289505,141.66571,559.58496,1014.1557,0.004118285,0.011106507,0,99
smtADV,Set11,10,1,5,500.0,5.0,1,100,0.04,27.161934,22.344389,157.48805,432.3551,768.4786,0.0024088945,0.0075436602,0,99
STH,Set11,10,1,5,500.0,5.0,1,100,0.04,27.303133,22.339125,150.91711,443.19772,697.2596,0.0026142437,0.0064623463,0,99
ISTA,Set11,10,1,5,500.0,0.05,0,0,0.0,27.775072,27.628046,139.83571,143.22485,0.0,1.6717199e-06,0.0,0,0
ADV,Set11,10,1,5,500.0,0.05,0,0,0.0,27.179253,27.066229,157.95818,160.85338,0.0,9.443291e-07,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,0.05,0,0,0.0,27.654255,27.51054,142.7737,146.3644,0.0,1.8709238e-06,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,0.05,0,0,0.0,27.739998,27.590187,140.68468,144.28136,0.0,1.98893e-06,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,0.05,0,0,0.0,27.704994,27.546808,141.66571,145.52199,0.0,2.1182027e-06,0.0,0,0
smtADV,Set11,10,1,5,500.0,0.05,0,0,0.0,27.161934,27.039461,157.48805,160.66881,0.0,1.2485394e-06,0.0,0,0
STH,Set11,10,1,5,500.0,0.05,0,0,0.0,27.303133,27.17945,150.91711,154.22963,0.0,1.3312888e-06,0.0,0,0
ISTA,Set11,10,1,5,500.0,0.05,1,100,0.04,27.775072,27.046972,139.83571,158.64105,574.5269,0.00017340109,0.0062426357,0,99
ADV,Set11,10,1,5,500.0,0.05,1,100,0.04,27.179253,26.46092,157.95818,179.02661,496.93314,0.00018479512,0.004885694,0,99
JCBgma10,Set11,10,1,5,500.0,0.05,1,100,0.04,27.654255,27.049726,142.7737,157.99368,592.7696,0.00014491884,0.0065843314,0,99
JCBgma20,Set11,10,1,5,500.0,0.05,1,100,0.04,27.739998,27.102142,140.68468,156.78241,588.7141,0.00014752477,0.006562914,0,99
JCBgma30,Set11,10,1,5,500.0,0.05,1,100,0.04,27.704994,27.098583,141.66571,156.8103,616.283,0.00015493257,0.0071108444,0,99
smtADV,Set11,10,1,5,500.0,0.05,1,100,0.04,27.161934,26.584478,157.48805,174.30385,516.56146,0.00019279966,0.0053442526,0,99
STH,Set11,10,1,5,500.0,0.05,1,100,0.04,27.303133,26.751282,150.91711,165.03317,422.09973,0.00014773967,0.0040277545,0,99
ISTA,Set11,10,1,5,500.0,7.0,0,0,0.0,27.775072,21.164125,139.83571,553.49945,0.0,0.0040291697,0.0,0,0
ADV,Set11,10,1,5,500.0,7.0,0,0,0.0,27.179253,21.981968,157.95818,459.0798,0.0,0.0025841026,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,7.0,0,0,0.0,27.654255,21.090736,142.7737,582.93665,0.0,0.0042504515,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,7.0,0,0,0.0,27.739998,20.970665,140.68468,587.62396,0.0,0.0044039455,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,7.0,0,0,0.0,27.704994,20.576189,141.66571,642.8605,0.0,0.0050376635,0.0,0,0
smtADV,Set11,10,1,5,500.0,7.0,0,0,0.0,27.161934,21.6003,157.48805,492.77243,0.0,0.0029949376,0.0,0,0
STH,Set11,10,1,5,500.0,7.0,0,0,0.0,27.303133,21.8929,150.91711,480.94284,0.0,0.0029647537,0.0,0,0
ISTA,Set11,10,1,5,500.0,7.0,1,100,0.04,27.775072,21.950182,139.83571,476.78583,915.0174,0.003191025,0.009674667,0,99
ADV,Set11,10,1,5,500.0,7.0,1,100,0.04,27.179253,22.65324,157.95818,412.47092,733.97034,0.0021508564,0.007005665,0,99
JCBgma10,Set11,10,1,5,500.0,7.0,1,100,0.04,27.654255,21.715208,142.7737,515.9798,959.3144,0.0035489649,0.01021037,0,99
JCBgma20,Set11,10,1,5,500.0,7.0,1,100,0.04,27.739998,21.732271,140.68468,508.30606,944.35876,0.003541565,0.010135833,0,99
JCBgma30,Set11,10,1,5,500.0,7.0,1,100,0.04,27.704994,21.288898,141.66571,559.7926,1014.12714,0.004120634,0.011098629,0,99
smtADV,Set11,10,1,5,500.0,7.0,1,100,0.04,27.161934,22.34748,157.48805,432.27258,767.29706,0.0024082183,0.0075291977,0,99
STH,Set11,10,1,5,500.0,7.0,1,100,0.04,27.303133,22.345366,150.91711,442.95383,696.82745,0.002611906,0.006461225,0,99
ISTA,Set11,10,1,5,500.0,9.0,0,0,0.0,27.775072,21.163591,139.83571,553.57477,0.0,0.0040299254,0.0,0,0
ADV,Set11,10,1,5,500.0,9.0,0,0,0.0,27.179253,21.981949,157.95818,459.08792,0.0,0.0025842995,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,9.0,0,0,0.0,27.654255,21.09096,142.7737,582.8765,0.0,0.004249437,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,9.0,0,0,0.0,27.739998,20.97074,140.68468,587.59644,0.0,0.00440366,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,9.0,0,0,0.0,27.704994,20.575396,141.66571,642.97034,0.0,0.0050390777,0.0,0,0
smtADV,Set11,10,1,5,500.0,9.0,0,0,0.0,27.161934,21.600283,157.48805,492.7909,0.0,0.002995032,0.0,0,0
STH,Set11,10,1,5,500.0,9.0,0,0,0.0,27.303133,21.89259,150.91711,481.005,0.0,0.002965155,0.0,0,0
ISTA,Set11,10,1,5,500.0,9.0,1,100,0.04,27.775072,21.94354,139.83571,477.27316,916.79083,0.0031958043,0.009700921,0,99
ADV,Set11,10,1,5,500.0,9.0,1,100,0.04,27.179253,22.651644,157.95818,412.6175,733.54565,0.002153475,0.007003667,0,99
JCBgma10,Set11,10,1,5,500.0,9.0,1,100,0.04,27.654255,21.7213,142.7737,515.3303,959.4484,0.0035416454,0.010207622,0,99
JCBgma20,Set11,10,1,5,500.0,9.0,1,100,0.04,27.739998,21.733042,140.68468,508.6218,943.4146,0.0035442775,0.01012168,0,99
JCBgma30,Set11,10,1,5,500.0,9.0,1,100,0.04,27.704994,21.289085,141.66571,559.7109,1014.47577,0.0041212733,0.01110866,0,99
smtADV,Set11,10,1,5,500.0,9.0,1,100,0.04,27.161934,22.349346,157.48805,431.9557,767.17456,0.0024040902,0.007518615,0,99
STH,Set11,10,1,5,500.0,9.0,1,100,0.04,27.303133,22.345076,150.91711,442.9796,697.6733,0.0026128255,0.006470621,0,99
ISTA,Set11,10,1,5,500.0,12.0,0,0,0.0,27.775072,21.163832,139.83571,553.5315,0.0,0.0040294467,0.0,0,0
ADV,Set11,10,1,5,500.0,12.0,0,0,0.0,27.179253,21.981848,157.95818,459.10498,0.0,0.002584465,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,12.0,0,0,0.0,27.654255,21.091059,142.7737,582.87164,0.0,0.0042497264,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,12.0,0,0,0.0,27.739998,20.970898,140.68468,587.5572,0.0,0.0044028973,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,12.0,0,0,0.0,27.704994,20.575691,141.66571,642.93567,0.0,0.0050385073,0.0,0,0
smtADV,Set11,10,1,5,500.0,12.0,0,0,0.0,27.161934,21.600315,157.48805,492.8045,0.0,0.002995248,0.0,0,0
STH,Set11,10,1,5,500.0,12.0,0,0,0.0,27.303133,21.893015,150.91711,480.93918,0.0,0.0029644428,0.0,0,0
ISTA,Set11,10,1,5,500.0,12.0,1,100,0.04,27.775072,21.946806,139.83571,477.14972,916.41644,0.0031951622,0.009696721,0,99
ADV,Set11,10,1,5,500.0,12.0,1,100,0.04,27.179253,22.65313,157.95818,412.4633,734.6109,0.0021505507,0.0070135375,0,99
JCBgma10,Set11,10,1,5,500.0,12.0,1,100,0.04,27.654255,21.719448,142.7737,515.51996,961.4293,0.0035439297,0.010237282,0,99
JCBgma20,Set11,10,1,5,500.0,12.0,1,100,0.04,27.739998,21.734865,140.68468,508.238,942.0033,0.0035395927,0.0101002,0,99
