model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
smtADV1,BSD68,0.1,1,5,10000,10,0,0,0,28.267693,21.733017,146.57182,471.47708,0,0.004050087,0,0,0
smtADV1,BSD68,0.1,1,5,10000,10,1,250,0.1,28.272873,19.694538,146.59456,722.8482,1281.132,0.007581594,0.017518796,0,249
smtADV1,BSD68,0.1,1,5,10000,15,0,0,0,28.274998,20.511711,146.44664,634.6073,0,0.006193119,0,0,0
smtADV1,BSD68,0.1,1,5,10000,15,1,250,0.1,28.27343,18.954636,146.59953,863.59906,1455.2465,0.009635456,0.020142676,0,249
ordinary,BSD68,0.1,1,5,10000,20,0,0,0,27.864573,20.318407,160.48956,724.75183,0,0.006292995,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,20,0,0,0,28.176825,19.803236,149.7973,771.6841,0,0.007622093,0,0,0
ADV,BSD68,0.1,1,5,10000,20,0,0,0,28.068892,20.229782,153.84952,734.30865,0,0.006549536,0,0,0
smtADV,BSD68,0.1,1,5,10000,20,0,0,0,25.454296,21.166449,262.7267,612.31104,0,0.003516958,0,0,0
STH,BSD68,0.1,1,5,10000,20,0,0,0,26.449217,24.26208,190.47334,318.50897,0,0.000952104,0,0,0
ADV,BSD68,0.1,1,5,10000,20,1,250,0.1,28.067646,20.337545,154.02557,713.62384,716.4419,0.006277556,0.006327753,0,249
ordinary,BSD68,0.1,1,5,10000,20,1,250,0.1,27.88045,20.363724,160.15355,716.28864,719.9532,0.00623942,0.006310671,0,249
smtADV,BSD68,0.1,1,5,10000,20,1,250,0.1,25.453753,19.561096,262.83688,807.73303,1057.0548,0.009443532,0.017048119,0,249
JCBgma20,BSD68,0.1,1,5,10000,20,1,250,0.1,28.184338,20.068308,149.32996,728.4941,730.7636,0.007239927,0.00728646,0,249
ordinary,BSD68,0.1,1,5,10000,30,0,0,0,27.87304,20.095045,160.43655,770.3242,0,0.006878698,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,30,0,0,0,28.1858,20.074945,149.54341,749.49695,0,0.006977545,0,0,0
ADV,BSD68,0.1,1,5,10000,30,0,0,0,28.068125,20.236828,153.88681,745.5309,0,0.006670815,0,0,0
smtADV,BSD68,0.1,1,5,10000,30,0,0,0,25.447279,21.119715,262.94473,615.474,0,0.003545795,0,0,0
STH,BSD68,0.1,1,5,10000,30,0,0,0,26.42891,24.235468,190.7815,319.6515,0,0.000966898,0,0,0
STH,BSD68,0.1,1,5,10000,20,1,250,0.1,26.4223,23.468994,191.0645,375.85526,455.41537,0.001858705,0.0032614,0,249
ordinary,BSD68,0.1,1,5,10000,30,1,250,0.1,27.873863,20.308432,160.38461,743.79486,747.24164,0.006530956,0.006600615,0,249
ADV,BSD68,0.1,1,5,10000,30,1,250,0.1,28.069298,20.021528,153.86877,770.59,773.44446,0.00704847,0.007104551,0,249
