model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma20,BSD68,0.1,1,2,5000,0.01,0,0,0,28.189323,28.182722,149.43112,149.5598,0,4.89E-07,0,0,0
ADV,BSD68,0.1,1,2,5000,0.01,0,0,0,28.07688,28.070423,153.72304,153.86159,0,6.21E-07,0,0,0
smtADV,BSD68,0.1,1,2,5000,0.01,0,0,0,25.457941,25.454208,262.5831,262.72177,0,2.07E-06,0,0,0
STH,BSD68,0.1,1,2,5000,0.01,0,0,0,26.411144,26.407589,191.46643,191.58427,0,1.27E-07,0,0,0
ADV,BSD68,0.1,1,2,5000,0.01,1,250,0.1,28.069778,28.064138,153.93977,154.04959,154.07112,6.77E-06,3.04E-07,82,169
ordinary,BSD68,0.1,1,2,5000,0.01,1,250,0.1,27.879133,27.869335,160.16971,160.33334,160.30983,7.94E-06,3.34E-07,82,169
smtADV,BSD68,0.1,1,2,5000,0.01,1,250,0.1,25.457884,21.571726,262.55444,497.36304,272.1046,0.006248276,0.000238838,82,169
JCBgma20,BSD68,0.1,1,2,5000,0.01,1,250,0.1,28.19065,28.181528,149.37462,149.58441,149.49132,5.93E-06,3.10E-07,82,169
ordinary,BSD68,0.1,1,2,5000,0.05,0,0,0,27.871935,27.839214,160.32788,161.03198,0,7.83E-07,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,0.05,0,0,0,28.184128,28.150555,149.43571,150.0932,0,8.04E-07,0,0,0
ADV,BSD68,0.1,1,2,5000,0.05,0,0,0,28.07536,28.042757,153.65382,154.32198,0,6.79E-07,0,0,0
smtADV,BSD68,0.1,1,2,5000,0.05,0,0,0,25.456608,25.438547,262.55054,263.17917,0,2.03E-06,0,0,0
STH,BSD68,0.1,1,2,5000,0.05,0,0,0,26.447815,26.430443,190.5682,191.12732,0,1.86E-07,0,0,0
STH,BSD68,0.1,1,2,5000,0.01,1,250,0.1,26.433725,24.529903,190.77298,285.24567,183.44904,0.001412049,0.0001109,82,169
ordinary,BSD68,0.1,1,2,5000,0.05,1,250,0.1,27.871775,27.837326,160.43417,161.11124,161.12917,7.92E-06,3.51E-07,47,204
ADV,BSD68,0.1,1,2,5000,0.05,1,250,0.1,28.067324,28.035744,154.10657,154.76875,154.7821,6.95E-06,5.14E-07,47,204
JCBgma20,BSD68,0.1,1,2,5000,0.05,1,250,0.1,28.189232,28.153759,149.35022,150.05269,149.98027,6.18E-06,4.56E-07,47,204
ordinary,BSD68,0.1,1,2,5000,0.3,0,0,0,27.869873,27.66443,160.48816,164.91113,0,5.93E-06,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,0.3,0,0,0,28.196404,27.983145,149.29213,153.38489,0,5.78E-06,0,0,0
ADV,BSD68,0.1,1,2,5000,0.3,0,0,0,28.073135,27.867622,153.89172,158.1622,0,5.28E-06,0,0,0
smtADV,BSD68,0.1,1,2,5000,0.3,0,0,0,25.456919,25.340662,262.94827,267.0027,0,5.95E-06,0,0,0
STH,BSD68,0.1,1,2,5000,0.3,0,0,0,26.43585,26.329971,190.53223,193.99971,0,2.48E-06,0,0,0
smtADV,BSD68,0.1,1,2,5000,0.05,1,250,0.1,25.43442,21.558279,263.4332,498.8504,297.43896,0.006260551,0.000943665,47,204
ordinary,BSD68,0.1,1,2,5000,0.3,1,250,0.1,27.862558,27.656693,160.72807,165.09343,165.06682,1.23E-05,1.24E-05,0,249
STH,BSD68,0.1,1,2,5000,0.05,1,250,0.1,26.421259,24.501396,191.13174,286.72763,196.93816,0.001416614,0.00031662,47,204
JCBgma20,BSD68,0.1,1,2,5000,0.3,1,250,0.1,28.169203,27.958548,149.83517,153.97327,153.93205,1.09E-05,1.09E-05,0,249
ordinary,BSD68,0.1,1,2,5000,1.5,0,0,0,27.874762,26.952633,160.46506,185.72356,0,9.48E-05,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,1.5,0,0,0,28.186108,27.22143,149.5113,172.85739,0,9.44E-05,0,0,0
ADV,BSD68,0.1,1,2,5000,1.5,0,0,0,28.062038,27.13262,154.30896,178.797,0,9.16E-05,0,0,0
smtADV,BSD68,0.1,1,2,5000,1.5,0,0,0,25.45363,24.942776,262.67023,284.1863,0,6.94E-05,0,0,0
